,index_sql,q10_part_1,q10_part_2,q10_part_3,q10_part_4,q10_part_5,q10_part_6,q10_part_7,q10_part_8,q10_part_9,q10_part_10,q10_part_11,q10_part_12,q10_part_13,q10_part_14,q10_part_15,q10_part_16,q10_other
7669,7670,,,,,,,,,,,Google Cloud Datalab,,,,,,
7670,7671,,,,, Binder / JupyterHub ,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,Google Cloud Datalab,,,,,,
7671,7672, Kaggle Notebooks,,,,,,,,,,,,,,,,
7672,7673,,,Azure Notebooks,,,, IBM Watson Studio ,,,,,,,,,,
7673,7674,,,,, Binder / JupyterHub ,,,,,,,,,,,,
7674,7675, Kaggle Notebooks,,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7675,7676,,Colab Notebooks,,,,,,,,,,,,,,,
7676,7677,,,,,,,,,,,,,,,,None,
7677,7678, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7678,7679, Kaggle Notebooks,,,, Binder / JupyterHub ,,,,,,,,,,,,
7679,7680,,Colab Notebooks,,,,,,,,,,,,,,,
7680,7681, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7681,7682,,,,,,,,,,,,,,,,None,
7682,7683,,,,, Binder / JupyterHub ,,,,,,,,,,,,
7683,7684, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7684,7685,,,,,,,,,,,,,,,,None,
7685,7686,,,,,,,,,,,,,,,,None,
7686,7687,,Colab Notebooks,,,,,,,,,,,,,,,
7687,7688,,Colab Notebooks,,,,,,,,,,,,,,,
7688,7689, Kaggle Notebooks,Colab Notebooks,,,,, IBM Watson Studio ,,,,,, Zeppelin / Zepl Notebooks ,,,,
7689,7690,,,,, Binder / JupyterHub ,,,,,,,, Zeppelin / Zepl Notebooks ,,,,
7690,7691,,,,,,,,,,,,,,,,None,
7691,7692,,,,,,,,,,,,,,,,None,
7692,7693, Kaggle Notebooks,,,,,,,,,,,,,,,,
7693,7694, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7694,7695, Kaggle Notebooks,,,,,,,,,,,,,,,,
7695,7696, Kaggle Notebooks,Colab Notebooks,,, Binder / JupyterHub ,,,,,,,,,,,,
7696,7697,,,,,,,,,,,,,,,,None,
7697,7698, Kaggle Notebooks,,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7698,7699,,Colab Notebooks,,,,,,,,,,,,,,,
7699,7700,,Colab Notebooks,,,,,,,,,,,,,,,
7700,7701, Kaggle Notebooks,Colab Notebooks,Azure Notebooks,,,,,,,,Google Cloud Datalab, Databricks Collaborative Notebooks ,,,,,
7701,7702,,Colab Notebooks,,,,,,,,,,,,,,,
7702,7703, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7703,7704, Kaggle Notebooks,,,,,,,,,,, Databricks Collaborative Notebooks ,,,,,
7704,7705,,,,,,,,,,,,,,,,None,
7705,7706,,,,,,,,,,,,,,,,,
7706,7707, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7707,7708,,,,,, Code Ocean ,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,Google Cloud Datalab,,,,,,
7708,7709,,,,,,,,,,,,,,,,None,
7709,7710, Kaggle Notebooks,,,,,,,,,,,,,,,,
7710,7711, Kaggle Notebooks,,,,,, IBM Watson Studio ,,,,,,,,,,
7711,7712, Kaggle Notebooks,,,,,,,,,,,,,,,,
7712,7713, Kaggle Notebooks,,,,,,,,,,,,,,,,
7713,7714,,,,,,,,,,,,,,,,None,
7714,7715,,Colab Notebooks,,,,,,,,,,,, Deepnote Notebooks ,,,
7715,7716,,,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7716,7717,,Colab Notebooks,,,,,,,,,,,,,,,
7717,7718,,Colab Notebooks,,,,,,,,,,,,,,,
7718,7719,,,,,,,,,,,,,,,,None,
7719,7720,,,,,,,,,,,,,,,,None,
7720,7721, Kaggle Notebooks,Colab Notebooks,, Paperspace / Gradient ,,,,,,,,,,,,,
7721,7722,,,,,,,,,,,,,,,,None,
7722,7723, Kaggle Notebooks,,,,,,,,,,,,,,,,
7723,7724,,,,,,,, Amazon Sagemaker Studio Notebooks ,,,,,,,,,
7724,7725,,Colab Notebooks,,,,,,,,,,,,,,,
7725,7726, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7726,7727, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7727,7728,,,,,,,,,,,,,,,,None,
7728,7729, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7729,7730,,,,,,,,, Amazon EMR Notebooks ,,,,,,,,
7730,7731,,,,,,,,,,,,,,,,,
7731,7732,,Colab Notebooks,,,,,,,,,Google Cloud Datalab,,,,,,
7732,7733, Kaggle Notebooks,Colab Notebooks,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7733,7734, Kaggle Notebooks,,, Paperspace / Gradient ,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7734,7735, Kaggle Notebooks,,,,,, IBM Watson Studio ,,,,,,,,,,
7735,7736, Kaggle Notebooks,Colab Notebooks,,,,,,,,,, Databricks Collaborative Notebooks ,,,,,
7736,7737, Kaggle Notebooks,,,,,,,,,,,,,,,,
7737,7738,,,,,,,,,,,,,,,,None,
7738,7739,,,,,,,,,,,,,,,,None,
7739,7740,,,Azure Notebooks,,,,,,,,,,,,,,
7740,7741, Kaggle Notebooks,Colab Notebooks,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7741,7742,,,Azure Notebooks,,,,,,,,,,,,,,
7742,7743,,,,,,,,,,,,,,,,None,
7743,7744, Kaggle Notebooks,,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,Google Cloud Datalab,,,,,,
7744,7745,,Colab Notebooks,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7745,7746,,Colab Notebooks,,,,,,,,,,,, Deepnote Notebooks ,,,
7746,7747,,,,,,,,,,,,,,,,None,
7747,7748, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7748,7749, Kaggle Notebooks,,,,,,,,,,,,,,,,
7749,7750,,,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7750,7751,,Colab Notebooks,,,,,,,,,,,,,,,
7751,7752, Kaggle Notebooks,,,,,,,,,,,,,,,,
7752,7753, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7753,7754,,,Azure Notebooks,,,,,,,,,,,,,,
7754,7755,,,,,,,,,,,,,,,,None,
7755,7756,,Colab Notebooks,,,,,,,,,,,,,,,
7756,7757,,,,,,,,,,,,,,,,,
7757,7758,,,,,,,,,,,,,,,,None,
7758,7759,,,,,,,,,,,,,,,,None,
7759,7760,,Colab Notebooks,,,,,,,,,,,,,,,
7760,7761, Kaggle Notebooks,Colab Notebooks,,, Binder / JupyterHub ,,,,,,Google Cloud Datalab,,,,,,
7761,7762,,Colab Notebooks,,,,,,,,,,,,,,,
7762,7763,,,,,,,,,,,,,,,,,
7763,7764,,Colab Notebooks,,,,,,,,,,,,,,,
7764,7765,,Colab Notebooks,,,,,,,,,,,,,,,
7765,7766,,Colab Notebooks,,,,,,,,,,,,,,,
7766,7767,,Colab Notebooks,,,,,,,,,Google Cloud Datalab,,,,,,
7767,7768,,,,,,,,,,,,,,,,None,
7768,7769,,,,, Binder / JupyterHub ,, IBM Watson Studio ,,,,,,,,,,
7769,7770, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7770,7771,,Colab Notebooks,,,,,,,,,,,,,,,
7771,7772,,,,,,, IBM Watson Studio ,,,,,,,,,,
7772,7773,,,,,,,,,,,,,,,,None,
7773,7774, Kaggle Notebooks,,,,,,,,,,,,,,,,
7774,7775, Kaggle Notebooks,,,,,,,,,,,,,,,,
7775,7776,,,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7776,7777, Kaggle Notebooks,Colab Notebooks,,,,, IBM Watson Studio ,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,Google Cloud Datalab,,,,,,
7777,7778,,Colab Notebooks,,,,,,,,,,,,,,,
7778,7779,,,,,,,,,,,,,,,,None,
7779,7780,,,,,,,,,,,,,,,,None,
7780,7781,,,,,,,,,,,,,,,,None,
7781,7782, Kaggle Notebooks,Colab Notebooks,,, Binder / JupyterHub ,,,,,,,,,,,,
7782,7783,,,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7783,7784,,,,,,,,,,,,,,,,None,
7784,7785, Kaggle Notebooks,,,,,,,,,,,,,,,,
7785,7786, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7786,7787, Kaggle Notebooks,,,,,,,,,,,,,,,,
7787,7788,,,,,,,,,,,,,,,,None,
7788,7789,,,,, Binder / JupyterHub ,,,,,,,,,,,,
7789,7790,,,,,,,,,,,,,,,,None,
7790,7791, Kaggle Notebooks,Colab Notebooks,Azure Notebooks,,,,,, Amazon EMR Notebooks ,,,,,,,,
7791,7792,,,,,,,,,,,,,,,,None,
7792,7793, Kaggle Notebooks,Colab Notebooks,Azure Notebooks,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7793,7794, Kaggle Notebooks,Colab Notebooks,Azure Notebooks,,,, IBM Watson Studio ,,,,,,,,,,
7794,7795,,,,,,,,,,,,,,,,None,
7795,7796, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7796,7797,,,,,,,,,,,,,,,,None,
7797,7798, Kaggle Notebooks,,Azure Notebooks,,,,,,,,,,,,,,
7798,7799, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7799,7800,,,,,,,,,,,,,,,,None,
7800,7801,,,,,,,,,,,,,,,,None,
7801,7802,,,,,,,,,,,,,,,,None,
7802,7803, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7803,7804, Kaggle Notebooks,,,,,, IBM Watson Studio , Amazon Sagemaker Studio Notebooks ,,,,, Zeppelin / Zepl Notebooks ,,,,
7804,7805,,,,,,,,,,,,,,,,None,
7805,7806,,,,,,,,,,,,,,,,None,
7806,7807,,,,,,,,,,,,,,,,None,
7807,7808, Kaggle Notebooks,,,,,,,,,,,,,,,,
7808,7809,,,,,,,,,,,,,,,,None,
7809,7810,,,,,,,,,,,,,,,,None,
7810,7811, Kaggle Notebooks,,,, Binder / JupyterHub ,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7811,7812,,,,,,,,,,,,,,,,None,
7812,7813, Kaggle Notebooks,,,,,,,,,,Google Cloud Datalab,,,,,,
7813,7814, Kaggle Notebooks,,,,,,,,,,,,,,,,Other
7814,7815,,Colab Notebooks,,, Binder / JupyterHub ,,,,,,,,,,,,
7815,7816, Kaggle Notebooks,,,,,,,,,,,,,,,,
7816,7817, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7817,7818,,Colab Notebooks,,, Binder / JupyterHub ,,,,,,Google Cloud Datalab, Databricks Collaborative Notebooks ,,,,,
7818,7819, Kaggle Notebooks,,,,,,,,,,,,,,,,
7819,7820,,Colab Notebooks,,,, Code Ocean ,,,,,,,,,,,
7820,7821,,,,,,,,,,,,,,,,None,
7821,7822,,,,, Binder / JupyterHub ,,, Amazon Sagemaker Studio Notebooks ,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,, Deepnote Notebooks ,,,
7822,7823,,,,,,,,,,,,,,,,None,
7823,7824,,,,,,,,,,,Google Cloud Datalab,,,,,,
7824,7825,,,,,,,,,,,,,,,,,Other
7825,7826,,Colab Notebooks,,,,,,,,,,,,,,,
7826,7827,,,,,,,, Amazon Sagemaker Studio Notebooks ,,,Google Cloud Datalab,,,,,,
7827,7828, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7828,7829,,,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7829,7830, Kaggle Notebooks,Colab Notebooks,,,,,,, Amazon EMR Notebooks ,,,,,,,,
7830,7831, Kaggle Notebooks,,,,,,,,,,,,,,,,
7831,7832,,Colab Notebooks,,,,,,,,,,,,,,,
7832,7833,,,,,,,,, Amazon EMR Notebooks ,Google Cloud Notebooks (AI Platform / Vertex AI) ,,, Zeppelin / Zepl Notebooks ,,,,
7833,7834,,,,,,,, Amazon Sagemaker Studio Notebooks ,,,,,,,,,
7834,7835,,,,,,,,,,,,,,,,None,
7835,7836, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7836,7837, Kaggle Notebooks,,,,,,,,,,,,,,,,
7837,7838, Kaggle Notebooks,,,,,,,,,,,,,,,,
7838,7839,,,,,,,,,,,,,,,,None,
7839,7840, Kaggle Notebooks,Colab Notebooks,,,,, IBM Watson Studio ,,,,Google Cloud Datalab, Databricks Collaborative Notebooks ,,,,,
7840,7841,,,,,,,,,,,,,,,,None,
7841,7842,,,,,,,,,,,,,,,,,
7842,7843,,,,,,,,,,,,,,,,None,
7843,7844,,Colab Notebooks,,,,,,,,,,,,,,,
7844,7845,,,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7845,7846,,,,,,,,,,,,,,,,None,
7846,7847, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7847,7848, Kaggle Notebooks,,,,,,,,,,,,,,,,
7848,7849,,,,,,,,,,,,,,,,None,
7849,7850,,,,,,,,,,,,,,,,None,
7850,7851, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7851,7852,,,,,,,,,,,,,,,,,Other
7852,7853,,,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7853,7854,,,,,,,,,,,,,,,,None,
7854,7855,,Colab Notebooks,,,,,,,,,,,,,,,
7855,7856,,Colab Notebooks,,, Binder / JupyterHub ,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,, Zeppelin / Zepl Notebooks ,,,,
7856,7857,,,,,,,,,,,,,,,,None,
7857,7858,,,,,,,,,,,,,,,,None,
7858,7859, Kaggle Notebooks,,,,,,,,,,,,,,,,
7859,7860, Kaggle Notebooks,,,,,, IBM Watson Studio ,,,,,,,,,,
7860,7861,,,,,,,,,,,,,,,,None,
7861,7862,,Colab Notebooks,,,,,,,,,,,,,,,
7862,7863, Kaggle Notebooks,,,,,, IBM Watson Studio ,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7863,7864,,Colab Notebooks,,,,,,,,,,,,,,,
7864,7865, Kaggle Notebooks,Colab Notebooks,,,,, IBM Watson Studio , Amazon Sagemaker Studio Notebooks ,,,,,,,,,
7865,7866,,,,,,,,,,,,,,,,,
7866,7867, Kaggle Notebooks,,,,,,,,,,,,,,,,
7867,7868, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7868,7869,,,,,,,,,,,,,,,,None,
7869,7870,,,,,,,,,,,,,,,,None,
7870,7871, Kaggle Notebooks,Colab Notebooks,,, Binder / JupyterHub ,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7871,7872,,,,,,,,,,,,,,,,None,
7872,7873,,,,,, Code Ocean ,,,,,,,,,,,
7873,7874,,,,,, Code Ocean ,,,,,, Databricks Collaborative Notebooks ,, Deepnote Notebooks ,,,
7874,7875, Kaggle Notebooks,,,,,,,,,,,,,,,,
7875,7876, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7876,7877,,,,,,,,,,,,,,,,None,
7877,7878,,,,,,,,,,,,,,,,None,
7878,7879,,Colab Notebooks,,,,,,,,,,,,,,,
7879,7880, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7880,7881, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7881,7882,,,Azure Notebooks,,,,,,,,Google Cloud Datalab,,,,,,
7882,7883, Kaggle Notebooks,,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,Other
7883,7884,,,,,,,,,,,,,,,,None,
7884,7885,,,,,,,,,,,,,,,,,
7885,7886,,,,,,,,,,,Google Cloud Datalab,,,,,,
7886,7887, Kaggle Notebooks,,,,,,,,,,,,,,,,
7887,7888,,Colab Notebooks,,,,, IBM Watson Studio , Amazon Sagemaker Studio Notebooks ,,,,,,,,,
7888,7889, Kaggle Notebooks,,,,,,,,,,,,,,,,
7889,7890,,Colab Notebooks,,,,,,,,,,,,,,,
7890,7891,,Colab Notebooks,,,,,,,,,,,,,,,
7891,7892,,,,, Binder / JupyterHub ,,,,,,,,,,,,
7892,7893,,,,,,,,,,,,,,,,None,
7893,7894, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7894,7895,,Colab Notebooks,,, Binder / JupyterHub ,,,,,,,,,,,,
7895,7896,,,,,,,,,,,,,,,,None,
7896,7897,,,,,,,,,,,,,,,,None,
7897,7898, Kaggle Notebooks,Colab Notebooks,Azure Notebooks,,,,,,,,,,,,,,
7898,7899, Kaggle Notebooks,,Azure Notebooks,,, Code Ocean ,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,Google Cloud Datalab,,,,,,
7899,7900,,Colab Notebooks,,,,,,,,,,,,,,,
7900,7901,,Colab Notebooks,,,,,,,,,,,,,,,
7901,7902, Kaggle Notebooks,,,,,,,,,,,,,,,,
7902,7903,,,,,,,,,,,,,,,,None,
7903,7904,,,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7904,7905,,,,, Binder / JupyterHub ,,,,,,,,,,,,
7905,7906,,,,,,,,,,,,,,,,None,
7906,7907,,,,,,,,,,,,,,,,,
7907,7908,,Colab Notebooks,,,,,, Amazon Sagemaker Studio Notebooks ,,,Google Cloud Datalab, Databricks Collaborative Notebooks ,,,,,
7908,7909,,,,,,,,,,,,,,,,None,
7909,7910,,Colab Notebooks,,,,,,,,,,,,,,,
7910,7911, Kaggle Notebooks,,,,,,,,,,,,,,,,
7911,7912, Kaggle Notebooks,,,,,,,,,,,,,,,,
7912,7913, Kaggle Notebooks,Colab Notebooks,,,,,,,,,Google Cloud Datalab,,,,,,
7913,7914, Kaggle Notebooks,Colab Notebooks,,,,,,,,,Google Cloud Datalab, Databricks Collaborative Notebooks ,,,,,
7914,7915,,,,,,,,,,,,,,,,None,
7915,7916, Kaggle Notebooks,,,,,,,,,,,,,,,,
7916,7917,,,,,,,,,,,,,,,,None,
7917,7918,,,,,,,,,,,,,,,,None,
7918,7919,,,, Paperspace / Gradient ,,, IBM Watson Studio ,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,Google Cloud Datalab,,,,,,
7919,7920,,,,,,,,,,,,,,,,None,
7920,7921,,Colab Notebooks,,,,,,,,,,,,,,,
7921,7922, Kaggle Notebooks,,,,,,,,,,,,,, Observable Notebooks ,,
7922,7923, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7923,7924,,Colab Notebooks,,,,,,,,,,,,,,,
7924,7925,,,,,,,,,,,,,,,,None,
7925,7926, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7926,7927,,Colab Notebooks,,,,,,,,,,,,,,,
7927,7928, Kaggle Notebooks,,,,,,,,,,,,,,,,
7928,7929,,Colab Notebooks,Azure Notebooks,,,,,,,,,,,,,,
7929,7930,,,,,,,,,,,,,,,,None,
7930,7931, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7931,7932,,,,,,, IBM Watson Studio ,,,,,,,,,,
7932,7933, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7933,7934,,,,,,,,,,,,,,,,None,
7934,7935,,,,,,,,,,,,,,,,None,
7935,7936,,,,,,,,,,,,,,,,None,
7936,7937,,,,,,,,,,,Google Cloud Datalab,,,,,,
7937,7938, Kaggle Notebooks,,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7938,7939,,,,,,,,,,,,,,,,None,
7939,7940, Kaggle Notebooks,,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7940,7941, Kaggle Notebooks,,,,,,,,,,,,,,,,
7941,7942,,,,, Binder / JupyterHub ,,,,,,,,,,,,
7942,7943,,Colab Notebooks,,,,,,,,,,,,,,,
7943,7944, Kaggle Notebooks,,,, Binder / JupyterHub ,,,,,,,,,,,,
7944,7945, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7945,7946, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7946,7947, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7947,7948, Kaggle Notebooks,,,,,,,,,,,,,,,,
7948,7949,,,,,,,,,,,,,,,,None,
7949,7950,,Colab Notebooks,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7950,7951,,,,,,,,,,,,,,,,None,
7951,7952,,,,,, Code Ocean ,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,Google Cloud Datalab,, Zeppelin / Zepl Notebooks ,,,,
7952,7953,,,,,,,,,,,,,,,,None,
7953,7954,,Colab Notebooks,,,,,,,,,,,,,,,
7954,7955,,,,,,,,,,,,,,,,None,
7955,7956,,,,,,,,,,,,,,,,None,
7956,7957, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7957,7958, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7958,7959, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7959,7960,,,,,,,,,,,,,,,,,Other
7960,7961,,Colab Notebooks,,, Binder / JupyterHub ,,,,,,Google Cloud Datalab,,,,,,
7961,7962,,,,,, Code Ocean ,,,,,,,,,,,
7962,7963,,,,,,,,,,,,,,,,None,
7963,7964,,Colab Notebooks,,,,,,,,,,,,,,,
7964,7965, Kaggle Notebooks,Colab Notebooks,,,,,, Amazon Sagemaker Studio Notebooks ,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7965,7966, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7966,7967,,Colab Notebooks,,,,,,,,,, Databricks Collaborative Notebooks ,,,,,
7967,7968,,Colab Notebooks,,,,,,,,,,,,,,,
7968,7969, Kaggle Notebooks,,,,,, IBM Watson Studio ,,,,,,,,,,
7969,7970,,,,,,,,,,,,,,,,None,
7970,7971,,,,,,,,,,,,,,,,None,
7971,7972,,,,,,,,,,,,,,,,None,
7972,7973,,,,,,,,,,,, Databricks Collaborative Notebooks ,,,,,
7973,7974,,,,,,,,,,,,,,,,None,
7974,7975,,Colab Notebooks,,,,,,,,,,,,,,,
7975,7976,,Colab Notebooks,Azure Notebooks,,,,,,,,,,,,,,
7976,7977,,,,,,,,,,,,,,,,None,
7977,7978,,,,,,,,,,,,,,,,None,
7978,7979, Kaggle Notebooks,Colab Notebooks,Azure Notebooks,, Binder / JupyterHub ,, IBM Watson Studio ,,,,,,,,,,
7979,7980,,Colab Notebooks,,,,,,,,,,,,,,,
7980,7981,,,,,,,,,,,,,,,,None,
7981,7982,,,,,,,,,,,,,,,,None,
7982,7983,,,,,,,,,,,,,,,,,
7983,7984, Kaggle Notebooks,,,,,,,,,,,,,,,,
7984,7985, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
7985,7986, Kaggle Notebooks,Colab Notebooks,,,,, IBM Watson Studio ,,,,,,,,,,
7986,7987, Kaggle Notebooks,Colab Notebooks,,,,,, Amazon Sagemaker Studio Notebooks ,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7987,7988,,,,,,,,,,,,,,,,None,
7988,7989,,,,,,,,,,,,,,,,,
7989,7990,,,,,,,,,,,,,,,,None,
7990,7991, Kaggle Notebooks,Colab Notebooks,,, Binder / JupyterHub ,, IBM Watson Studio ,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,Google Cloud Datalab,,, Deepnote Notebooks ,,,
7991,7992,,,,,,,, Amazon Sagemaker Studio Notebooks ,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
7992,7993,,,,,,,,,,,,,,,,,
7993,7994, Kaggle Notebooks,Colab Notebooks,,,,,, Amazon Sagemaker Studio Notebooks ,,,,,,,,,
7994,7995, Kaggle Notebooks,,,,,,,,,,,,,,,,
7995,7996,,,,, Binder / JupyterHub ,,,,,,,,,,,,
7996,7997,,,,,,,,,,,,,,,,None,
7997,7998,,,,,,,,,,,,,,,,None,
7998,7999, Kaggle Notebooks,,,,,,,,,,,,,,,,
7999,8000,,Colab Notebooks,,,,,,,,,,,,,,,
8000,8001, Kaggle Notebooks,,,,,,,,,,,,,,,,
8001,8002, Kaggle Notebooks,,,,,,,,,,,,,,,,
8002,8003, Kaggle Notebooks,,,,,,,,,,,,,,,,
8003,8004, Kaggle Notebooks,,,,,,,,,,,,,,,,
8004,8005,,,,,,,,,,,,,,,,None,
8005,8006, Kaggle Notebooks,,,,,,,,,,,,,,,,
8006,8007, Kaggle Notebooks,Colab Notebooks,,,,, IBM Watson Studio ,,,,,,,,,,
8007,8008,,Colab Notebooks,,,,,,,,,,,,,,,
8008,8009,,,,,,,,,,,,,,,,None,
8009,8010, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
8010,8011, Kaggle Notebooks,Colab Notebooks,, Paperspace / Gradient ,,,,,,,,,,,,,
8011,8012,,Colab Notebooks,,,,,,,,,,,,,,,
8012,8013,,,,,,,,,,,,,,,,None,
8013,8014,,,,,,,,,,,,,,,,,
8014,8015, Kaggle Notebooks,,,,,,,,,,,,,,,,
8015,8016,,,,,,,,,,,,,,,,None,
8016,8017,,Colab Notebooks,,,,,,,,,,,,,,,
8017,8018,,Colab Notebooks,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,, Databricks Collaborative Notebooks ,,,,,
8018,8019, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
8019,8020,,,,,,,,,,Google Cloud Notebooks (AI Platform / Vertex AI) ,,,,,,,
8020,8021, Kaggle Notebooks,,,,,,,,,,,,,,,,
8021,8022, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
8022,8023,,Colab Notebooks,,,,,,,,,,,,,,,
8023,8024,,,,,,,,,,,,,,,,,Other
8024,8025,,Colab Notebooks,,,,,, Amazon Sagemaker Studio Notebooks ,,,,,,,,,
8025,8026,,,,,,,,,,,,,,,,None,
8026,8027,,,,,,,,,,,,,,,,None,
8027,8028,,,,,,,,,,,,,,,,None,
8028,8029, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
8029,8030,,,,, Binder / JupyterHub ,,,,,,,,,,,,
8030,8031,,,,,,,,,,,,,,,,None,
8031,8032, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,, Deepnote Notebooks ,,,
8032,8033,,,,,,,,,,,,,,,,None,
8033,8034, Kaggle Notebooks,,,,,,,,,,,,,,,,
8034,8035,,,,,,,,,,,,,,,,None,
8035,8036,,,,,,,, Amazon Sagemaker Studio Notebooks , Amazon EMR Notebooks ,,,,,,,,
8036,8037,,,,,,,,,,,,,,,,None,
8037,8038,,,,,,,,,,,,,,,,None,
8038,8039,,,,,,,,,,,,,,,,None,
8039,8040, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
8040,8041,,,,,,,,,,,,,,,,None,
8041,8042, Kaggle Notebooks,,,,,,,,,,,,,,,,
8042,8043, Kaggle Notebooks,Colab Notebooks,,,,,,,,,,,,,,,
8043,8044, Kaggle Notebooks,,,,,,,,,,,,,,,,
